current_severity,monthly_rainfall_mm,vehicles_per_hour,road_age_years,drainage_condition,construction_quality,temperature_range,crack_intensity,severity_30d,severity_60d,severity_90d,weekly_growth_rate,will_worsen,road_type,rainfall_season
2.0,104.47589563668792,670,8,1,1,3.2695316771637604,2.0,2.313120136094354,2.675262382002581,3.094101642572958,0.03452084331160875,1,collector,post_monsoon
2.0,397.3521830844124,797,5,0,1,9.269927515075263,3.0,2.4380981152992205,2.9721612099128056,3.6232103221269316,0.047301219865841806,1,arterial,monsoon
3.0,49.33598550245087,760,6,0,0,8.673077805019094,2.0,3.2275714878239103,3.472405903004617,3.735812762229714,0.017207164299779948,0,arterial,post_monsoon
4.0,356.0439809087355,698,8,1,0,12.207051445712398,3.0,5.0,5.0,5.0,0.05959651554438493,1,local,monsoon
2.0,51.39656288688768,866,1,0,1,11.896747441985053,1.0,2.1648678189042383,2.3433263366635972,2.53649588771689,0.018654693966111923,0,local,dry
3.0,45.559209579217836,906,1,0,1,12.668712149906158,3.0,3.208098627260134,3.430632267409452,3.668602222570195,0.01577185032386156,0,local,dry
3.0,338.8233909738144,533,4,0,2,12.873548243153396,3.0,4.006110412172606,5.0,5.0,0.06981098746669735,1,arterial,monsoon
1.0,47.59417707231381,786,4,0,0,13.664613623014855,0.0,1.0604204649897404,1.1244915625690572,1.1924338656565197,0.013782733450858741,0,arterial,dry
3.0,33.20263159471097,584,14,0,1,7.204776612940191,2.0,3.293916456456137,3.6166285407041854,3.9709574223714874,0.02204803886076695,0,arterial,dry
2.0,400.7561004702989,456,7,1,0,8.376038403180992,1.0,2.6162386725832425,3.4223523959600635,4.476845344759318,0.06467662341379803,1,local,monsoon
1.0,309.5211232591023,490,4,1,1,11.815609703526237,3.0,1.2313017375626507,1.5161039689248028,1.8667814512627405,0.04974798145070066,0,arterial,monsoon
5.0,401.6100878496808,702,7,1,1,11.893285246635381,1.0,5.0,5.0,5.0,0.05079828882182386,0,collector,monsoon
5.0,22.413825882493857,793,1,0,0,6.590363173518507,3.0,5.0,5.0,5.0,0.013719381913283195,0,collector,dry
4.0,80.25500832892095,616,3,1,1,17.407796905065254,1.0,4.4291857015302805,4.904421494660071,5.0,0.024066696722118443,1,collector,pre_monsoon
2.0,186.88580204293402,420,4,2,1,15.62400338775413,3.0,2.46109257888955,3.0284883409326073,3.7266950905613827,0.049597665817435216,1,arterial,monsoon
1.0,94.04277569796108,402,2,0,1,7.701416573184358,1.0,1.0905454825094505,1.18928944942177,1.296974236463063,0.020430778365862757,0,collector,post_monsoon
3.0,409.7274947145774,129,11,1,1,10.95816993541657,3.0,3.4911982438370464,4.062821725923625,4.728038691522518,0.03601432313124725,1,arterial,monsoon
3.0,89.12901581187923,572,9,1,0,22.04769825398558,2.0,3.280300315653517,3.5867900536255215,3.9219161816968975,0.021060671284548183,0,highway,post_monsoon
1.0,201.67465840137092,558,2,1,2,12.802885189171407,1.0,1.1263837465390754,1.2687403444674041,1.429088502586472,0.028158698655757944,0,arterial,monsoon
3.0,337.28170209832933,291,1,0,2,13.978429776000327,3.0,3.47621537711818,4.028024449370966,4.667426843437113,0.03497517218519687,1,arterial,monsoon
1.0,57.72844679157903,594,1,0,1,8.955322244344352,1.0,1.0631938818329183,1.1303812303669492,1.201814408264907,0.014400783671360079,0,collector,dry
5.0,346.6912122534493,591,6,0,1,10.434439457358293,2.0,5.0,5.0,5.0,0.057935075381026935,0,local,monsoon
2.0,344.6939431498569,203,7,0,0,19.556629928917012,2.0,2.311332699680943,2.6711294243071984,3.0869343917405803,0.0343342581397337,1,arterial,monsoon
3.0,263.5158098598785,435,8,2,0,12.56647213646268,1.0,3.5413711389461335,4.180436514586878,4.934825740318178,0.03946940403677605,1,collector,monsoon
2.0,144.61822427726014,781,2,0,1,11.645358905635593,2.0,2.1308938188417645,2.270354233589019,2.418941901468036,0.014901956952841048,0,arterial,pre_monsoon
3.0,368.3344821683704,373,6,2,0,12.038205429682328,1.0,3.576862025614851,4.264647316761857,5.0,0.04189083494585331,1,arterial,monsoon
3.0,16.396851649146523,503,6,1,0,24.72691394207592,5.0,3.2801194638230764,3.586394565650329,3.921267539912984,0.021047535778295424,0,collector,dry
2.0,320.53146222013373,532,11,0,1,12.199037515739423,2.0,2.7881112872228857,3.886782274969828,5.0,0.08060098419325727,1,arterial,monsoon
5.0,37.81453900417668,494,10,2,0,7.849616503931994,1.0,5.0,5.0,5.0,0.021219677953149017,0,local,dry
4.0,91.29156183210485,637,1,2,0,8.723245491923809,2.0,4.523189540113126,5.0,5.0,0.0290973320468006,1,local,post_monsoon
5.0,51.09583729731141,687,1,0,0,15.903780011940519,4.0,5.0,5.0,5.0,0.01703156104804159,0,local,dry
4.0,7.303282120536224,752,6,0,1,4.857594366766117,2.0,4.391059831945631,4.820351611931598,5.0,0.0220030333485006,1,arterial,dry
3.0,150.74659298297792,437,4,0,1,14.252914907321149,1.0,3.4461581018186545,3.9586685542434505,4.547399236873601,0.03288012362965194,1,collector,pre_monsoon
5.0,445.96445123015053,604,3,0,0,8.380912361752786,3.0,5.0,5.0,5.0,0.03211342934887454,0,highway,monsoon
1.0,101.43033591456953,667,3,0,1,3.0,2.0,1.1234736848368845,1.2621931205209673,1.418040756087457,0.02753828219611802,0,local,pre_monsoon
2.0,29.23117073577128,476,9,1,0,7.099638915432026,0.0,2.119279668138299,2.2456731558921894,2.379604730283143,0.013608547984918506,0,arterial,dry
1.0,325.47888371668097,356,1,0,0,12.137669048393297,0.0,1.0954623782090203,1.2000378220713626,1.314596286507068,0.021502441495142122,0,collector,monsoon
2.0,9.851061032971394,528,14,2,0,18.975836967464083,1.0,2.3272904580861815,2.708140438149494,3.151314700431324,0.03599614272124633,1,highway,dry
2.0,110.70819276361154,378,4,0,0,16.56664705973319,3.0,2.190410399456816,2.3989488590242845,2.627341264285928,0.0214464795964424,0,collector,post_monsoon
2.0,64.07435975317848,359,9,0,0,10.531548869146235,1.0,2.1594355381767563,2.3315809217703687,2.517449351302927,0.018057696127188123,0,local,post_monsoon
4.0,273.1913671167337,544,4,0,2,16.860935349090465,0.0,4.478299695084054,5.0,5.0,0.02670514401089346,1,collector,monsoon
2.0,35.96997075386438,462,1,2,2,10.216100853804727,0.0,2.1077129845579927,2.2212270126371805,2.3408545080931726,0.012315012855600717,0,arterial,dry
2.0,286.4501698964475,535,6,0,1,4.667442076270553,0.0,2.4479167287992882,2.9961481555677043,3.6671605959876583,0.04828382269618018,1,arterial,monsoon
3.0,49.801560560081,189,1,2,0,12.105438178163382,2.0,3.1310504127275154,3.2678255623470482,3.410575525236083,0.010026390208574055,0,arterial,dry
1.0,134.37007872275967,464,7,0,1,4.470330024966076,3.0,1.0873113291567071,1.182245926512525,1.2854693897464362,0.01972385642741424,0,arterial,pre_monsoon
4.0,19.575451777302817,50,6,0,1,15.957041537425312,1.0,4.250815110774259,4.517357276496695,4.800612642924552,0.014291654961785728,0,local,dry
1.0,49.89782624572008,290,4,1,0,16.029400445034387,2.0,1.0711815125785629,1.1474298328900978,1.2291056239729827,0.01617393111682435,0,local,post_monsoon
5.0,47.4785453650634,482,7,2,0,7.6001503023486885,2.0,5.0,5.0,5.0,0.01700816768411764,0,local,dry
4.0,415.8438375932974,742,11,1,1,12.72798753412831,1.0,5.0,5.0,5.0,0.07603535142642946,1,collector,monsoon
2.0,358.681388197054,607,6,1,0,12.680246170957206,5.0,2.4975038356432897,3.118762704526472,3.8945609085080517,0.053200619569915696,1,collector,monsoon
1.0,113.14917622027082,518,4,0,1,16.35981690883621,3.0,1.133026939547848,1.283750045741163,1.4545233854705197,0.029570416366300135,0,arterial,pre_monsoon
4.0,56.670641334838834,424,8,0,0,5.77465873008076,3.0,4.232019082476561,4.477496378611438,4.737212529000825,0.013243390316064882,0,highway,dry
4.0,76.28611462748545,449,8,0,1,14.997437617840902,1.0,4.318921896912334,4.663271587907208,5.0,0.018060491349883946,1,collector,post_monsoon
4.0,339.25580371553946,761,5,0,1,5.416153744972451,2.0,4.691670383077032,5.0,5.0,0.03791650221876323,1,collector,monsoon
4.0,260.7280453916137,278,12,0,1,15.885943688364353,2.0,4.635936539882521,5.0,5.0,0.035026369668407525,1,highway,monsoon
1.0,38.03821422246339,354,5,0,0,17.31348700666573,4.0,1.0614893339080331,1.1267596060005198,1.1960433036479696,0.014021075289049237,0,collector,dry
2.0,135.74377726503965,713,12,0,2,8.652043031800538,0.0,2.345647954222251,2.7510321625735163,3.226476482070092,0.037897171526768275,1,local,pre_monsoon
1.0,93.64503627091486,431,4,1,0,18.095644332707696,1.0,1.0891721564762407,1.1862959864431046,1.2920805577733456,0.020130793077210645,0,local,pre_monsoon
4.0,34.120694977320866,887,10,0,1,4.129835184906057,2.0,4.499823161272846,5.0,5.0,0.027854416408170966,1,arterial,dry
3.0,34.85552745329884,638,6,0,0,17.497917226052742,5.0,3.1619865932374864,3.3327197386045357,3.512671710828494,0.012346174834981004,0,arterial,dry
2.0,87.01437414896547,730,8,1,0,19.192281190813205,2.0,2.256982993977157,2.546986117551045,2.874252176604306,0.028607297820604442,0,highway,post_monsoon
1.0,53.093184248781796,174,1,2,1,13.729075970757659,2.0,1.0399047039651639,1.0814017933288753,1.1245548117590616,0.009171924901413733,0,collector,dry
2.0,45.65222606561166,711,15,1,0,11.022371094853195,1.0,2.1872048528773025,2.391932534225011,2.6158232233060246,0.021097489762592028,0,arterial,dry
2.0,269.55368660608247,330,8,0,1,13.562099100499616,1.0,2.2078044976600557,2.437200349943986,2.690430947152497,0.023333388611362665,0,collector,monsoon
4.0,333.2378482584298,643,11,0,1,8.981208156344366,3.0,4.987502521681411,5.0,5.0,0.052831164717133894,1,collector,monsoon
3.0,37.623756479976734,427,1,0,2,25.12313339581372,1.0,3.1381865955806596,3.28273836956071,3.433948516051244,0.010563058979964065,0,local,dry
4.0,339.4854943720125,544,7,0,2,9.067343547828543,3.0,4.7607691469404605,5.0,5.0,0.04146336433226597,1,highway,monsoon
3.0,29.306223846356993,278,6,0,0,18.587005848286594,1.0,3.2206606617817597,3.4575516994495064,3.7118669148312318,0.016698540060346087,0,highway,dry
1.0,46.540766121639095,155,2,0,0,8.29386291287929,0.0,1.0244896677882949,1.0495790794049709,1.075282922377143,0.005661372830298442,0,highway,dry
4.0,54.08514817782758,530,12,0,1,19.984041397518247,3.0,4.447602750729796,4.945292557074812,5.0,0.025058693101870436,1,arterial,dry
4.0,69.25809682313513,441,7,0,0,22.06164290877585,0.0,4.416976378383916,4.877420081800374,5.0,0.023407322231049178,1,local,post_monsoon
3.0,48.16662000503518,321,6,0,1,13.929954055096717,1.0,3.2335932641644303,3.485375132683192,3.756761850710193,0.01764967580871082,0,arterial,dry
4.0,63.72631236366224,163,9,1,0,13.433286342835752,0.0,4.324762676233398,4.675893051435365,5.0,0.018381576925232672,1,arterial,dry
3.0,103.67135120533543,50,3,0,1,7.217104876077107,2.0,3.1257756492442637,3.2568244698027997,3.393367540524151,0.009629104367867198,0,local,pre_monsoon
3.0,60.41728108187341,604,7,0,1,6.6216619521585764,3.0,3.241656926124012,3.502779875562592,3.784936881435094,0.018241247336854848,0,collector,post_monsoon
3.0,52.459835369431126,448,7,1,1,13.489573025828141,1.0,3.1699688329354947,3.3495674672608073,3.539341491677148,0.012941906556217768,0,highway,dry
1.0,166.28664316617355,379,7,1,0,19.290962385905605,2.0,1.0972251355547458,1.2039029980931304,1.3209526302774999,0.021885745663162304,0,arterial,pre_monsoon
1.0,58.57424816283471,542,11,0,0,9.258987554254848,1.0,1.0943889786770182,1.1976872366497269,1.3107357116915948,0.021268803581724623,0,local,dry
1.0,120.35209109165808,702,5,0,0,23.03964608897093,1.0,1.075849365235984,1.1574518566786696,1.2452438452989578,0.017205444091475026,0,arterial,pre_monsoon
3.0,289.7809843774642,553,4,1,1,8.94927030185081,1.0,3.493752249541228,4.068768260391463,4.738422754201541,0.036191117384375054,1,arterial,monsoon
2.0,309.6575025527803,411,4,1,2,13.146959703749854,4.0,2.4440955345481874,2.986801490999195,3.6500140933665004,0.047901774476646175,1,collector,monsoon
3.0,54.65474211492935,926,4,0,1,13.160082332018279,2.0,3.229648615137348,3.4768767257528626,3.743030034110336,0.0173598738964562,0,collector,dry
5.0,52.63103290566852,372,11,0,2,11.492328123822414,1.0,5.0,5.0,5.0,0.01906919378197684,0,collector,dry
2.0,5.0,218,6,1,0,3.0,1.0,2.1710363795226013,2.3566994806053025,2.558240153998066,0.01933121670520928,0,highway,dry
3.0,95.5322468634255,519,11,0,1,8.904634497845521,2.0,3.47435887346235,4.023723193868857,4.659952794324845,0.034846173650192026,1,local,pre_monsoon
4.0,34.08100799891329,448,8,0,2,12.998196461514361,1.0,4.338988482541104,4.706705262906088,5.0,0.019162224525958164,1,arterial,dry
2.0,301.22981161690865,689,3,1,0,11.52007452009893,1.0,2.319544585791706,2.690143542737808,3.11995394478,0.03519056120725215,1,arterial,monsoon
1.0,114.20472559371444,394,1,0,2,15.181013297013912,1.0,1.098729923119145,1.2072074439574025,1.3263949420881764,0.02221258203304699,0,collector,post_monsoon
2.0,102.52859076323062,466,1,0,1,15.78417955995926,3.0,2.1649984242503475,2.3436090885032437,2.5369549918341576,0.018669033112631413,0,collector,post_monsoon
2.0,120.59653530805355,326,3,1,2,10.79960769410545,1.0,2.195573676364434,2.410271884172218,2.6459647508849136,0.02200778634498121,0,collector,post_monsoon
5.0,313.1862461125729,661,11,1,0,7.187848138422769,2.0,5.0,5.0,5.0,0.05256056333689148,0,arterial,monsoon
4.0,316.64886904083136,528,12,0,1,19.741588526917067,2.0,5.0,5.0,5.0,0.05972461259987769,1,local,monsoon
3.0,27.284920761774476,444,7,2,0,5.222688347421741,2.0,3.3470908914739272,3.7343391452625765,4.166390846260967,0.02587424140092157,1,arterial,dry
4.0,400.6912418708417,470,10,0,0,9.023463882839257,4.0,4.89845588694402,5.0,5.0,0.048414814364748045,1,collector,monsoon
4.0,67.73838174684508,495,4,1,2,7.750200380130995,2.0,4.643576357971669,5.0,5.0,0.03542410993797232,1,collector,pre_monsoon
2.0,152.25310361426818,212,4,1,1,15.732288109010538,3.0,2.173375203537323,2.3617798876754508,2.5665169220434945,0.019587336582024956,0,arterial,pre_monsoon
4.0,447.2596139507066,732,10,2,1,18.585109872402953,4.0,5.0,5.0,5.0,0.07520315066149265,1,local,monsoon
3.0,21.562075714322017,720,7,0,1,11.131533122445276,2.0,3.2865508336092946,3.600472127299316,3.944378223787531,0.021514313803266166,0,collector,dry
4.0,31.93067237463854,508,9,0,1,13.148883801674563,1.0,4.425929912309519,4.897213897169035,5.0,0.023891001548788274,1,collector,dry
4.0,132.89427023907461,486,7,2,2,14.143859104945747,4.0,4.624187687654921,5.0,5.0,0.03441372523279101,1,collector,post_monsoon
2.0,60.62475454317734,300,5,2,2,21.020020492944305,2.0,2.2585531252934063,2.550531109886307,2.88025500469589,0.02877422163161758,0,highway,dry
1.0,190.3216133649788,845,6,0,1,3.132132788934113,2.0,1.1959381249142846,1.4302679986234954,1.7105120283986899,0.04263435888002926,0,local,pre_monsoon
2.0,102.66620964523207,797,8,2,2,15.721109495634643,2.0,2.2274736867672136,2.4808195126201618,2.762980092990037,0.025453417786444374,0,collector,post_monsoon
3.0,311.78062533836345,578,7,1,0,13.882623739697516,1.0,3.639178147851787,4.414539197267321,5.0,0.046098263004188386,1,arterial,monsoon
4.0,251.4834908503213,664,3,0,0,10.145802373770898,1.0,4.457304658107936,4.966891203797676,5.0,0.02558000040806575,1,arterial,monsoon
4.0,46.214003496870866,746,6,2,0,13.631133678601477,1.0,4.3421960107636695,4.713666548972981,5.0,0.019337967940918657,1,arterial,dry
1.0,23.388624315989347,705,1,0,2,15.70414487914959,5.0,1.0713811330145135,1.1478575321794626,1.2297929033656763,0.016218114172044572,0,highway,dry
3.0,55.99973694530429,328,5,0,1,14.915813562414016,1.0,3.12205514062241,3.249076100362272,3.3812649138031476,0.009348573014199398,0,collector,post_monsoon
3.0,295.10502331278036,437,3,0,2,22.792503029581493,1.0,3.2450303669773852,3.510074027535127,3.7967656032300336,0.018488397183185828,0,local,monsoon
2.0,410.1171779113157,593,1,2,0,12.637407938968426,3.0,2.529584793011551,3.1993996125176456,4.046576303295843,0.056341861700292914,1,arterial,monsoon
1.0,25.57833334038432,540,15,0,0,12.134525916451633,3.0,1.093804149465798,1.1964075173885977,1.3086355069717222,0.021141434745440026,0,collector,dry
2.0,45.73010808179144,650,3,1,1,11.093506071651126,0.0,2.132049460306054,2.2728174505956678,2.4228796094583376,0.015030358990143348,0,highway,dry
5.0,104.06518185191631,628,3,1,0,14.76489418572944,1.0,5.0,5.0,5.0,0.025258495477072193,0,arterial,post_monsoon
2.0,145.63107961048263,549,13,0,2,11.839708692570262,3.0,2.4067956701255,2.8963326988674276,3.4854404994385146,0.0441482205777199,1,collector,pre_monsoon
3.0,226.81788332961077,50,2,0,1,12.066045725323834,3.0,3.290670201470684,3.60950345828237,3.959228490758392,0.021812922809572515,0,highway,monsoon
4.0,37.53742571569534,734,1,0,1,12.089149300031284,1.0,4.160196771863063,4.326809295154963,4.500094515542693,0.009204640890870941,0,highway,dry
2.0,314.9730140066561,667,6,0,1,11.326957152549534,2.0,2.5742287770630776,3.3133268983298336,4.264630724748904,0.06066279153060411,1,local,monsoon
5.0,69.04803379741158,913,5,2,1,8.956635989237961,1.0,5.0,5.0,5.0,0.026351131457236363,0,local,post_monsoon
5.0,307.8596655877947,404,4,2,1,14.090532690984555,2.0,5.0,5.0,5.0,0.05458583992539888,0,local,monsoon
2.0,45.75350697560597,131,3,2,0,10.574762174916907,5.0,2.0998995558985163,2.204789072431393,2.3149177970242922,0.011438131766243573,0,arterial,dry
3.0,233.48537863329145,463,6,0,2,15.06839751410222,0.0,3.567287254878046,4.241846119605116,5.0,0.041239399603745314,1,local,monsoon
2.0,376.7557751162227,591,13,1,1,12.553838144639986,2.0,2.65795444303271,3.5323609106186615,4.69442718838697,0.06861375168386372,1,highway,monsoon
2.0,79.76609902032868,411,1,2,0,10.067125618354767,3.0,2.1951392162035392,2.409318089257344,2.6443943110186874,0.021960594617101124,0,collector,pre_monsoon
1.0,33.44466683877881,774,10,2,1,19.824152025175323,1.0,1.1069793911364534,1.2254033724008329,1.3564962790768307,0.023998274845986663,0,arterial,post_monsoon
3.0,282.24675962915825,367,13,0,1,11.488437072265118,3.0,3.303428313666253,3.6375462078439535,4.0054577117536745,0.0227359314701125,1,collector,monsoon
3.0,56.91498818687298,479,4,0,2,15.114115072809032,0.0,3.1828029106148934,3.376744789272879,3.5825043812337984,0.0138973347664176,0,local,post_monsoon
1.0,242.41266497570177,450,8,2,2,8.500085470039494,2.0,1.24251231149616,1.5438368442195307,1.9182362858841464,0.05197034396478055,0,arterial,monsoon
2.0,24.106172744468736,1054,6,1,0,3.0,6.0,2.2070482667843767,2.4355310259579612,2.6876672647700466,0.02325159022205365,0,local,dry
5.0,55.35521273743909,318,1,2,0,9.165004161614764,4.0,5.0,5.0,5.0,0.019397559895085372,0,collector,dry
2.0,23.14175841801693,616,11,1,0,3.0,1.0,2.1679605362085006,2.350026443278725,2.54738229403735,0.018994065115154758,0,collector,dry
1.0,113.99348137592547,259,7,0,0,10.815685665903759,1.0,1.1030153993471103,1.2166429711968652,1.341975932737565,0.023141500964497876,0,collector,post_monsoon
3.0,290.650629488947,568,4,1,1,19.34323507269527,2.0,3.5347948734643597,4.164924932489972,4.907385099909816,0.039018685138977306,1,arterial,monsoon
5.0,287.7212882706827,309,1,0,1,7.473574889616746,3.0,5.0,5.0,5.0,0.028807099717387097,0,collector,monsoon
2.0,38.45752740521064,719,9,0,2,3.0,1.0,2.2057535896522764,2.432674449131951,2.682940199314088,0.02311150041374546,0,collector,dry
3.0,56.19974754451303,681,7,0,2,19.501284955062633,3.0,3.260865573695907,3.544414763238379,3.852620026781187,0.019645913231121182,0,collector,dry
4.0,302.7106381693329,554,9,0,1,9.62322618337874,5.0,5.0,5.0,5.0,0.0709049893035854,1,arterial,monsoon
2.0,115.40748800971033,221,9,1,1,11.921308089156561,0.0,2.1489622841670912,2.309019449386321,2.480997855069734,0.016903447001953273,0,collector,pre_monsoon
4.0,28.72384652969218,489,3,1,1,15.941399845655386,4.0,4.2305989981455925,4.474491970777622,4.732445312195575,0.013164046523827131,0,collector,dry
2.0,326.31671743458065,439,1,1,1,14.615863824945746,2.0,2.2072274132553127,2.4359264269128698,2.688321793077575,0.023270969702384164,0,highway,monsoon
3.0,29.729786612310185,666,6,0,0,15.752562098059345,1.0,3.220694200044082,3.4576237100658638,3.7119828763146767,0.016701010435098886,0,local,dry
3.0,13.478781364200785,319,6,2,0,16.502144947727118,4.0,3.2202698433298047,3.4567126212864547,3.7105158037954302,0.016669751544267045,0,local,dry
3.0,154.50410411038848,731,7,1,2,3.269426837052727,4.0,3.639869158190158,4.4162158295813105,5.0,0.04614460757732153,1,collector,pre_monsoon
1.0,64.56632527807167,693,13,0,1,4.928261299299903,2.0,1.1571021820356833,1.3388854596717394,1.5492272868820185,0.03463396879065922,0,collector,dry
4.0,99.59558514366645,225,6,0,1,17.855848313144207,4.0,4.367911394025521,4.769662486514492,5.0,0.02074335175911725,1,arterial,post_monsoon
2.0,43.185430807121165,456,9,1,2,8.091304284541566,1.0,2.158098036473871,2.3286935675161886,2.51277450780301,0.01791053049015763,0,local,dry
2.0,35.76081414987043,489,8,0,0,8.636770775182203,3.0,2.124758058103737,2.257298402738382,2.3981064853815353,0.014219323767375076,0,collector,dry
1.0,39.22561863836246,701,1,0,1,5.68578738917841,2.0,1.0823795380328871,1.171545464352286,1.2680568384901516,0.01864275459589661,0,local,dry
3.0,298.2500598270759,362,1,2,0,9.97526055326259,1.0,3.28964531427025,3.607255431233404,3.955530308910959,0.021738656517038893,0,collector,monsoon
3.0,128.45802909615486,541,11,0,1,10.253419681577645,2.0,3.295399397382513,3.6198857294230096,3.9763230837780483,0.022155384505534143,0,arterial,pre_monsoon
1.0,360.4816986685172,719,3,1,0,7.312696561574212,2.0,1.106996320290549,1.2254408531368157,1.356558515156166,0.024001928851403283,0,arterial,monsoon
3.0,22.430976847620773,550,8,1,1,6.734586275621277,2.0,3.1853790134467284,3.382213153102284,3.591210265631834,0.014088755736572782,0,local,dry
2.0,43.80586754656289,128,2,0,0,13.593315460878529,1.0,2.0679706787186287,2.1382513640199927,2.210920562261729,0.00782862407592376,0,arterial,dry
3.0,120.20954748767817,401,9,0,1,7.961653665557854,6.0,3.2517409838900266,3.524606475436694,3.820369109420558,0.01897945492354538,0,arterial,pre_monsoon
2.0,74.09613580356934,680,7,2,2,8.968438715108693,2.0,2.3141886835164645,2.6777346314578336,3.0983915907899253,0.03463233301264988,1,highway,post_monsoon
3.0,59.90154058182091,655,5,0,0,3.0,2.0,3.2431559710103413,3.506020217433343,3.7901901342173066,0.018351096837385016,0,local,post_monsoon
2.0,38.55917370744886,50,9,1,0,21.691001212655124,1.0,2.0644585722995705,2.1309945983705907,2.1996750330651236,0.0074289833922433525,0,arterial,dry
5.0,341.543305608822,540,8,2,2,16.709120147373504,1.0,5.0,5.0,5.0,0.08069278970274608,0,arterial,monsoon
1.0,82.48074058452683,689,4,0,1,9.52596973336529,1.0,1.153764952957205,1.3311735666723412,1.5358614075295887,0.03393692747004998,0,arterial,post_monsoon
2.0,150.88700771468254,607,7,1,1,7.504595321711399,2.0,2.483607866638915,3.084154017615351,3.82991459003775,0.051830372441448454,1,collector,pre_monsoon
1.0,34.73001054200798,630,9,1,1,12.054443986165625,0.0,1.142559547035491,1.3054423185219464,1.4915455841313965,0.031585106755581405,0,local,post_monsoon
5.0,16.879635174827822,912,11,0,0,11.91733205201173,3.0,5.0,5.0,5.0,0.029888016555088652,0,arterial,dry
4.0,86.39248845120356,491,6,1,1,5.620167152426764,2.0,4.45234213263114,4.9558376165006015,5.0,0.02531346053284116,1,local,post_monsoon
2.0,232.4744964481584,560,14,0,0,3.0,4.0,2.400155669171695,2.8803736181285147,3.4566725344418714,0.043475356016346216,1,arterial,monsoon
3.0,74.89231978499585,312,4,0,2,9.369620462416655,3.0,3.3042370285603977,3.6393274469698813,4.008400169778019,0.022794347239650126,1,arterial,post_monsoon
4.0,200.9187235132454,373,1,1,1,4.183127345502434,1.0,4.512027571303418,5.0,5.0,0.028504214894292786,1,highway,monsoon
